,Song_Name,Artist,Length,Bpm,Key,Loudness,Popularity,Energy,Speechiness,Danceability,Positiveness,Liveness,Instrumentalness,Release_Date,Country_Code
7495,Love Again - Andrew Rayel Radio Edit,"Andy Moor, Betsie Larkin, Andrew Rayel",03:43,132,G# Minor,-3.8db,27%,91%,5%,58%,14%,16%,17%,3rd January 2014,NLF711302688
7496,1Train,"A$AP Rocky, Kendrick Lamar, Joey Bada$$, Yelawolf, Danny Brown, Action Bronson, Big K.R.I.T.",06:12,81,D Major,-3.36db,64%,88%,37%,49%,78%,70%,0%,20th June 2021,USRC11201455
7497,Game Over,Heatbeat,04:01,132,C# Major,-5.11db,16%,86%,10%,68%,38%,34%,8%,3rd January 2014,NLF711302138
7498,,,00:00,0,,0db,0%,0%,0%,0%,0%,0%,0%,1st January 1970,N/A
7499,Bones - Radio Edit,"Omnia, Everything By Electricity",03:14,127,B Minor,-4.08db,21%,88%,4%,40%,22%,35%,0%,3rd January 2014,NLF711312632
7500,,,00:00,0,,0db,0%,0%,0%,0%,0%,0%,0%,1st January 1970,N/A
7501,,,00:00,0,,0db,0%,0%,0%,0%,0%,0%,0%,1st January 1970,N/A
7502,Strawberry Blond,Mitski,01:54,77,C Major,-8.3db,70%,55%,9%,55%,94%,6%,0%,1st August 2013,ushm81309668
7503,,,00:00,0,,0db,0%,0%,0%,0%,0%,0%,0%,1st January 1970,N/A
7504,La Da Dee,Cody Simpson,03:16,116,F Major,-5.54db,70%,83%,7%,66%,57%,33%,0%,18th October 2013,USAT21301747
7505,,,00:00,0,,0db,0%,0%,0%,0%,0%,0%,0%,1st January 1970,N/A
7506,Fragile,"Tech N9ne, Kendrick Lamar, Mayday, Kendall Morgan",03:56,195,D Minor,-7.66db,59%,47%,15%,72%,67%,13%,0%,30th July 2013,USA2P1304199
7507,Backyard (She Doesn't Live Here Anymore) - Original Mix,"Beatman, Ludmilla",06:00,135,G Major,-2.95db,5%,98%,5%,62%,19%,60%,93%,23rd March 2013,CA5KR1036128
7508,Good Love,Sons Of Zion,04:31,80,A Minor,-7.99db,38%,52%,5%,67%,83%,21%,0%,18th October 2013,NZAM01200651
7509,,,00:00,0,,0db,0%,0%,0%,0%,0%,0%,0%,1st January 1970,N/A
7510,Open,Rhye,03:37,91,C Major,-10.96db,65%,32%,3%,55%,23%,28%,9%,1st January 2013,GBUM71205660
7511,Victory Theme,DJ.M@R,04:08,125,C# Major,-7.31db,8%,97%,10%,73%,61%,6%,87%,18th October 2013,DEGD31300612
7512,,,00:00,115,G# Major,-4.75db,0%,84%,5%,61%,35%,11%,0%,1st January 1970,N/A
7513,คุกเข่า,Cocktail,04:22,128,C# Major,-5.54db,2%,91%,10%,41%,31%,9%,0%,28th November 2013,THG011200716
7514,,,00:00,0,,0db,0%,0%,0%,0%,0%,0%,0%,1st January 1970,N/A
7515,The Light,Omnia,02:57,128,A Major,-2.96db,20%,96%,4%,44%,19%,36%,0%,3rd January 2014,NLF711302113
7516,Sensitive To A Smile,Aotearoa Reggae All Stars,04:05,81,A Minor,-7.79db,37%,62%,6%,52%,42%,58%,0%,21st June 2013,NZIL01300014
7517,Lift Off!,W&W,03:04,128,G# Major,-6.28db,35%,86%,11%,67%,47%,11%,24%,3rd January 2014,NLF711207133
7518,The Breach,Dustin Tebbutt,04:13,103,C# Major,-7.48db,60%,62%,3%,63%,52%,12%,10%,1st January 2013,AUZN31300204
7519,Skylarking,BT,03:28,128,B Minor,-7.34db,14%,83%,4%,23%,35%,36%,83%,3rd January 2014,NLF711305849
7520,You & I (Nobody in the World),John Legend,04:12,84,B Minor,-8.16db,65%,34%,3%,46%,22%,12%,0%,30th August 2013,USSM11304007
7521,Electronic Love - Original Mix,Supernova,06:55,0,,0db,7%,0%,0%,0%,0%,0%,0%,12th April 2019,ITV260900214
7522,Hush Little Baby,The Kiboomers,02:17,140,A Major,-26.12db,55%,5%,4%,23%,14%,5%,12%,28th June 2013,QMFME1387151
7523,Bubble (Remastered),Rabbit Junk,04:00,105,D# Major,-3.22db,14%,86%,5%,62%,83%,6%,0%,11th February 2016,TCACM1609098
7524,Help Me Lose My Mind,"Disclosure, London Grammar",04:04,109,F Minor,-5.71db,59%,71%,6%,78%,35%,6%,8%,3rd June 2013,GBUM71302630
7525,Own up (Remastered),Rabbit Junk,04:08,140,A Major,-3.46db,15%,95%,13%,49%,28%,21%,0%,11th February 2016,TCACM1609103
7526,Sad Song,"We The Kings, Elena Coats",03:46,85,C# Major,-5.5db,72%,56%,3%,51%,19%,7%,0%,16th December 2013,QMGKG1300017
7527,What Doesn't Kill You Will Make You a Killer (Remastered),Rabbit Junk,04:24,195,C# Major,-3.36db,14%,94%,26%,23%,30%,5%,3%,11th February 2016,TCACM1609095
7528,Hey Now,London Grammar,03:27,120,F Major,-11.86db,47%,29%,3%,65%,4%,9%,9%,1st January 2013,USSM11303139
7529,Strings of Life - Supernova Main Mix,"Soul Central, Supernova",05:34,122,A# Minor,-9.63db,1%,91%,6%,74%,62%,12%,90%,12th April 2019,GBCPZ1105675
7530,Wires,The Neighbourhood,03:13,73,G Minor,-6.01db,72%,57%,3%,57%,27%,34%,10%,8th May 2013,USSM11204648
7531,From the Ashes (Remastered),Rabbit Junk,04:02,107,E Major,-5.07db,18%,97%,15%,43%,12%,7%,0%,11th February 2016,TCACM1609127
7532,I Got You,Jack Johnson,02:59,98,B Major,-6.55db,65%,40%,4%,90%,54%,9%,0%,1st January 2013,USUM71306898
7533,,,00:00,0,,0db,0%,0%,0%,0%,0%,0%,0%,1st January 1970,N/A
7534,Half a Heart,One Direction,03:08,156,C Major,-4.52db,69%,71%,3%,52%,50%,12%,0%,25th November 2013,GBHMU1300226
7535,Climbing Uphill,Betsy Wolfe,03:39,136,G Major,-5.57db,13%,43%,22%,58%,54%,26%,0%,10th February 2013,USSK31351304
7536,Rock a Bye Baby,The Kiboomers,01:43,80,C Major,-25.34db,60%,7%,4%,44%,8%,11%,0%,28th June 2013,QMFME1387153
7537,Do You Want Me - Best Of 2009,Popof,04:33,130,G Major,-13.27db,7%,53%,4%,78%,27%,11%,84%,4th November 2013,FR6V80361380
7538,Shh! Ta Do,"Majic, Israel Starr",03:25,105,G# Major,-5.47db,36%,55%,7%,96%,89%,6%,0%,20th December 2013,NZAM01300971
7539,Wayfarer (Mix Cut) - Original Mix Edit,Audien,00:44,130,G Minor,-8.74db,5%,82%,4%,61%,96%,28%,98%,20th December 2013,NLF711314158
7540,Bad - Remix,"Wale, Rihanna",03:58,114,F# Minor,-6.59db,61%,70%,7%,81%,45%,11%,0%,25th June 2013,USAT21301460
7541,XIING (Mix Cut) - Original Mix,Orjan Nilsen,01:06,130,B Minor,-7.46db,5%,87%,7%,56%,13%,62%,96%,20th December 2013,NLF711314120
7542,IFHY,"Tyler, The Creator, Pharrell Williams",05:19,85,G Major,-6.18db,68%,72%,33%,36%,28%,58%,0%,1st April 2013,USQX91300228
7543,Rewind (Mix Cut) - Mikkas Remix,"Emma Hewitt, Mikkas",00:43,132,G# Major,-6.31db,5%,99%,4%,43%,79%,36%,72%,20th December 2013,NLF711314159
7544,High You Are - Branchez Remix,What So Not,03:33,137,A# Major,-5.61db,46%,86%,4%,69%,42%,3%,11%,25th October 2013,AUDCB1300133
7545,Still Holding On (Mix Cut) - Arisen Flame Remix,"Conjure One, Aruna, Arisen Flame",01:54,134,C# Minor,-7.46db,5%,95%,9%,69%,61%,28%,60%,20th December 2013,NLF711314138
7546,It's a Beautiful Day,Michael Bublé,03:19,144,C# Major,-3.98db,67%,80%,4%,53%,78%,30%,0%,11th April 2013,USRE11300016
7547,Sinai (Mix Cut) - Original Mix,Ilan Bluestone,00:44,130,B Minor,-7.24db,5%,82%,4%,51%,94%,42%,0%,20th December 2013,NLF711314102
7548,Everybody Wants To Rule The World,Lorde,02:35,111,B Minor,-9.29db,65%,57%,10%,58%,6%,11%,0%,1st January 2013,NZUM71300190
7549,Yugen (Mix Cut) - Original Mix,The Avengers,00:55,138,F Major,-5.12db,3%,96%,43%,48%,23%,37%,65%,20th December 2013,NLF711314199
7550,Chum,Earl Sweatshirt,04:03,154,A# Minor,-8.76db,64%,50%,24%,51%,19%,11%,0%,16th August 2013,USQX91202035
7551,Apollo (Mix Cut) - Dash Berlin 4AM Remix,"Hardwell, Amba Shepherd, Dash Berlin",00:44,130,B Minor,-8.46db,5%,82%,7%,67%,24%,23%,1%,20th December 2013,NLF711314111
7552,Who You Love,"John Mayer, Katy Perry",04:09,146,A Major,-10.92db,65%,35%,4%,69%,69%,10%,0%,20th August 2013,USSM11303945
7553,Go It Alone (Mix Cut) - Andrew Rayel Remix,"Dash Berlin, Sarah Howells, Andrew Rayel",01:20,132,C# Minor,-6.8db,5%,91%,15%,58%,36%,27%,0%,20th December 2013,NLF711314148
7554,400 Lux,Lorde,03:54,184,D Major,-8.36db,63%,47%,4%,51%,19%,13%,0%,1st January 2013,NZUM71300121
7555,Nangulan (Mix Cut) - Original Mix,Woody van Eyden,00:56,135,G# Major,-6.93db,3%,95%,3%,44%,96%,22%,64%,20th December 2013,NLF711314167
7556,Animals in My Room,Anika Moa,02:53,137,F# Major,-10.22db,34%,32%,4%,57%,49%,11%,0%,29th November 2013,NZFB81300004
7557,Beautiful Life (Mix Cut) - Protoculture Remix,"Armin van Buuren ASOT Radio, Cindy Alma, Protoculture",00:44,130,C# Major,-6.88db,5%,96%,10%,50%,55%,32%,43%,20th December 2013,NLF711314133
7558,PAW Patrol Opening Theme,PAW Patrol,00:40,110,B Minor,-4.87db,66%,91%,9%,55%,91%,19%,0%,20th June 2021,CAGUG1800001
7559,Conqueror (Mix Cut) - Original Mix,"Abstract Vision, Elite Electronic",01:23,138,A Major,-8.25db,4%,99%,6%,37%,69%,68%,98%,20th December 2013,NLF711314186
7560,"Call It Fate, Call It Karma",The Strokes,03:24,109,E Minor,-14.78db,68%,24%,3%,54%,36%,10%,77%,25th March 2013,USRC11300085
7561,,,00:00,0,,0db,0%,0%,0%,0%,0%,0%,0%,1st January 1970,N/A
7562,Neon Lights,Demi Lovato,03:53,126,A Major,-4.24db,65%,82%,12%,63%,73%,10%,0%,1st January 2013,USHR11334427
7563,Folding Your Universe (Mix Cut) - Original Mix,"ReOrder, STANDERWICK, Sky Patrol",00:55,138,B Minor,-6.92db,3%,100%,8%,46%,43%,16%,91%,20th December 2013,NLF711314202
7564,High Hopes,Kodaline,03:50,77,E Major,-6.37db,69%,49%,3%,49%,22%,19%,0%,17th June 2013,GBDVX1200014
7565,Gladius (Mix Cut) - Original Mix,Arisen Flame,00:57,134,B Major,-6.54db,5%,98%,22%,71%,80%,38%,11%,20th December 2013,NLF711314139
7566,Sex,Sticky Fingers,02:38,106,G Minor,-10.47db,51%,59%,4%,61%,26%,12%,0%,8th March 2013,AUUR11300053
7567,Skylarking (Mix Cut) - Original Mix,BT,01:13,130,G Major,-7.24db,5%,94%,4%,45%,74%,43%,46%,20th December 2013,NLF711314104
7568,Clean The House,Fat Freddy's Drop,04:14,81,A Minor,-6.66db,36%,63%,3%,79%,26%,13%,36%,20th June 2021,NZDP01300003
7569,Elements Of Nature (Mix Cut) - Original Mix,"Rank 1, M.I.K.E.",01:26,134,C# Major,-6.23db,4%,100%,13%,43%,19%,79%,91%,20th December 2013,NLF711314156
7570,The Fox (What Does the Fox Say?),Ylvis,03:33,128,F# Major,-4.29db,64%,87%,5%,70%,55%,12%,0%,2nd September 2013,NOAGW1300374
7571,Black Hole (Mix Cut) - Jorn van Deynhoven Remix,"Craig Connelly, Christina Novelli, Jorn Van Deynhoven",02:19,138,C# Minor,-7.55db,4%,98%,11%,45%,53%,48%,38%,20th December 2013,NLF711314185
7572,The Wire,"David Dallas, Ruby Frost",03:43,79,D Minor,-9.22db,35%,56%,8%,56%,27%,39%,0%,1st January 2013,NZDI11300048
7573,Siren (Mix Cut) - Armin van Buuren Remix,"Kat Krazy, Elkka, Armin van Buuren ASOT Radio",00:43,132,C Major,-8.38db,5%,93%,4%,43%,47%,44%,90%,20th December 2013,NLF711314125
7574,Glory And Gore,Lorde,03:30,144,C# Major,-8.76db,63%,38%,4%,69%,29%,27%,0%,1st January 2013,NZUM71300125
7575,Lost Language (Mix Cut) - Original Mix,Alexander Popov,00:56,137,D Major,-9.87db,3%,93%,4%,51%,28%,28%,88%,20th December 2013,NLF711314183
7576,Take Me,RÜFÜS DU SOL,04:02,124,C Major,-7.4db,56%,77%,5%,72%,46%,10%,3%,20th June 2021,AUDCB1300082
7577,Walter White (Mix Cut) - Original Mix,Above & Beyond,00:43,132,C Major,-7.21db,8%,99%,4%,51%,86%,40%,94%,20th December 2013,NLF711314145
7578,Salute,Little Mix,03:56,82,D Major,-5.33db,67%,73%,5%,64%,35%,29%,0%,11th November 2013,GBHMU1300290
7579,Satellite (Mix Cut) - Aurosonic Progressive Mix,"Headstrong, Stine Grove, Aurosonic",00:59,130,B Minor,-6.96db,9%,80%,3%,54%,79%,73%,0%,20th December 2013,NLF711314103
7580,Tonight,Fiji,04:01,99,D Major,-7.21db,42%,47%,3%,71%,40%,9%,0%,20th June 2021,TCACP1618227
7581,Waiting For The Night (Mix Cut) - Original Mix,"Armin van Buuren ASOT Radio, Fiora",00:58,132,B Minor,-6.05db,8%,86%,3%,61%,78%,37%,9%,20th December 2013,NLF711314146
7582,Right Here - Andy C Remix,"Rudimental, Andy C",04:31,174,C Minor,-4.51db,48%,88%,6%,48%,34%,44%,21%,12th April 2013,GBAHS1300112
7583,Aurora (Mix Cut) - Original Mix,Beat Service,00:42,132,C# Minor,-5.6db,4%,95%,29%,54%,30%,36%,97%,20th December 2013,NLF711314151
7584,Wasting My Young Years,London Grammar,03:24,127,F Minor,-10db,50%,31%,4%,54%,13%,11%,0%,1st January 2013,USSM11303142
7585,The Other Side (Mix Cut) - Original Mix,Skytech,01:25,134,G Major,-7db,4%,98%,7%,49%,11%,40%,95%,20th December 2013,NLF711314161
7586,Wus Good / Curious,PARTYNEXTDOOR,03:32,83,G# Minor,-8.22db,66%,54%,8%,34%,45%,23%,0%,1st July 2013,USWB11302162
7587,RAMnesia (Mix Cut) - Original Mix,RAM,01:23,138,C# Major,-7.91db,3%,99%,8%,42%,65%,14%,95%,20th December 2013,NLF711314203
7588,Hey Porsche,Nelly,03:29,116,A Major,-4.65db,47%,80%,3%,73%,95%,70%,0%,30th September 2013,USUM71300653
7589,Intense (Mix Cut),"Armin van Buuren ASOT Radio, Miri Ben-Ari",00:56,135,G Major,-7.38db,3%,85%,5%,61%,45%,24%,97%,20th December 2013,NLF711314170
7590,Come & Get It,Selena Gomez,03:51,80,G Minor,-4.1db,69%,79%,5%,55%,57%,8%,0%,1st January 2013,USHR11334422
7591,Beyond The Time (Mix Cut) - Original Mix,A.r.d.i.,01:23,138,F# Major,-8.96db,3%,92%,34%,38%,39%,35%,99%,20th December 2013,NLF711314188
7592,Bulletproof,Stan Walker,03:36,160,D Minor,-3.17db,34%,96%,19%,62%,66%,12%,2%,28th October 2013,AUBM01300162
7593,Love Never Came (Mix Cut),"Armin van Buuren ASOT Radio, Richard Bedford",00:59,130,E Minor,-6.61db,4%,94%,6%,58%,56%,18%,1%,20th December 2013,NLF711314129
7594,Paranoid,"Ty Dolla $ign, B.o.B",03:36,97,F Major,-7.71db,60%,50%,5%,87%,27%,11%,0%,10th September 2013,USAT21302366
7595,Lullaby Lonely (Mix Cut) - Progressive Mix,"Denis Kenzo, Sveta B.",00:36,130,B Minor,-7.19db,5%,84%,10%,62%,32%,33%,84%,20th December 2013,NLF711314109
7596,This Is Gospel,Panic! At The Disco,03:07,156,G Major,-4.88db,69%,91%,7%,57%,61%,10%,0%,4th October 2013,USAT21302000
7597,What It's Like (Mix Cut) - Sneijder Remix,"Andain, Sneijder",01:37,138,C Major,-6.82db,3%,100%,9%,44%,31%,28%,22%,20th December 2013,NLF711314204
7598,Back to the Street,"BCee, Philippa Hanna",04:55,174,A Minor,-5.77db,50%,89%,5%,60%,21%,8%,5%,25th August 2013,GBRF51300026
7599,Universal Dreamers - Sami Dee Mix,"Ricky Diciotto, Kenny Carpenter, Wendy Lewis, Sami Dee",07:01,126,C Major,-3.73db,5%,92%,5%,68%,62%,23%,1%,11th December 2012,FR6V81457898
7600,Waves,Mr. Probz,02:54,173,F Minor,-12.26db,66%,28%,4%,37%,20%,38%,0%,22nd November 2013,TCABN1366256
7601,Character (Mix Cut) - Original Mix,Mark Sixma,00:43,132,B Major,-6.31db,4%,96%,20%,54%,30%,53%,0%,20th December 2013,NLF711314150
7602,Superman,"Sons Of Zion, Tomorrow People",03:18,150,F# Minor,-7.94db,38%,67%,10%,80%,88%,10%,0%,18th October 2013,NZSG01300115
7603,Requiem (Mix Cut) - Original Mix,Mark Sixma,00:44,130,D Major,-7.92db,5%,97%,7%,53%,37%,41%,94%,20th December 2013,NLF711314119
7604,Boys 'Round Here,"Blake Shelton, Pistol Annies",04:48,170,D Major,-6.37db,69%,69%,5%,61%,65%,25%,0%,26th March 2013,USWB11300390
7605,Cheops (Mix Cut) - Original Mix,"Matt Bukovski, Andy Elliass, Abys",01:23,138,C# Major,-8.54db,4%,100%,5%,39%,35%,22%,88%,20th December 2013,NLF711314187
7606,Swing - Joel Fletcher Remix,"Joel Fletcher, Savage",03:00,128,B Minor,-5.7db,51%,81%,24%,92%,79%,5%,1%,1st January 2013,AUNV01301435
7607,Violetta (Mix Cut) - Original Mix,Orjan Nilsen,00:59,130,G Minor,-7.71db,5%,97%,6%,49%,20%,37%,96%,20th December 2013,NLF711314116
7608,Laika,Sticky Fingers,03:53,144,F# Minor,-10.9db,50%,54%,4%,66%,33%,14%,0%,8th March 2013,AUUR11300056
7609,First Coming (Mix Cut) - Ian Standerwick Remix,"Ciro Visone, STANDERWICK",01:23,138,C# Major,-6.65db,3%,100%,8%,34%,32%,29%,99%,20th December 2013,NLF711314201
7610,Lanterns,Birds Of Tokyo,04:22,168,C Major,-7.89db,41%,65%,4%,40%,31%,14%,5%,1st January 2013,AUYO01200090
7611,Until The End (Mix Cut) - Club Mix,"Andrew Rayel, Jwaydan",02:08,134,C# Minor,-5.87db,4%,94%,11%,55%,48%,56%,5%,20th December 2013,NLF711314153
7612,Right Now,One Direction,03:20,120,G# Major,-5.17db,69%,78%,3%,65%,37%,9%,0%,25th November 2013,GBHMU1300217
7613,Immersion (Mix Cut) - Original Mix,Omnia,00:59,130,G Minor,-8.18db,5%,93%,4%,47%,73%,19%,95%,20th December 2013,NLF711314115
7614,,,00:00,0,,0db,0%,0%,0%,0%,0%,0%,0%,1st January 1970,N/A
7615,For Who I Am (Mix Cut) - Beat Service Remix,"Bobina, Ana Criado, Beat Service",01:49,132,G Major,-6.9db,5%,96%,5%,46%,15%,5%,93%,20th December 2013,NLF711314126
7616,,,00:00,0,,0db,0%,0%,0%,0%,0%,0%,0%,1st January 1970,N/A
7617,Never Ending (Mix Cut) - Bryan Kearney Remix,"M.I.K.E., Fred Baker, Active Sight, Bryan Kearney",00:55,138,F# Minor,-6.48db,3%,99%,7%,42%,54%,36%,85%,20th December 2013,NLF711314200
7618,Mr. Sun,Sammy Johnson,02:27,120,C Major,-7.15db,41%,38%,4%,74%,79%,17%,0%,6th August 2013,USHM81317303
7619,Bones (Mix Cut) - Original Mix,"Omnia, Everything By Electricity",00:44,130,B Minor,-7.96db,5%,86%,16%,42%,52%,20%,99%,20th December 2013,NLF711314106
7620,Rich Niggaz,J. Cole,04:36,125,G# Minor,-8.55db,63%,72%,20%,59%,31%,10%,0%,18th June 2013,USQX91301185
7621,Silhouette (Mix Cut) - Allen & Envy Remix,"Dart Rayne, Yura Moonlight, Sarah Lynn, Allen & Envy",01:58,138,G Major,-5.64db,3%,100%,7%,41%,71%,11%,80%,20th December 2013,NLF711314198
7622,Beautiful War,Kings of Leon,05:09,62,A Major,-10.57db,58%,59%,4%,50%,37%,7%,9%,24th September 2013,USRC11300783
7623,Violin's Revenge (Mix Cut) - Dark Club Mix,"Lange, Ilseviolin",00:44,130,A Minor,-7.71db,5%,92%,5%,55%,30%,37%,90%,20th December 2013,NLF711314122
7624,All Me,"Drake, 2 Chainz, Big Sean",04:30,122,C# Major,-6.98db,67%,52%,40%,67%,43%,22%,0%,1st January 2013,USCM51300758
7625,Love Will Bring It All Around (Mix Cut) - Original Mix,"Giuseppe Ottaviani, Eric Lumiere",01:49,132,B Major,-6.1db,5%,88%,4%,61%,42%,21%,0%,20th December 2013,NLF711314149
7626,One For The Road,Arctic Monkeys,03:26,180,C Major,-6.85db,66%,67%,4%,42%,84%,27%,6%,1st January 2013,GBCEL1300364
7627,,,00:00,0,,0db,0%,0%,0%,0%,0%,0%,0%,1st January 1970,N/A
7628,White Lies - EP Version,Max Frost,02:57,163,C# Minor,-3.43db,63%,88%,4%,70%,97%,8%,0%,17th September 2013,USAT21302464
7629,,,00:00,170,G Minor,-9.29db,0%,84%,32%,57%,62%,12%,0%,1st January 1970,N/A
7630,Play Hard,David Guetta,03:21,130,G# Minor,-3.01db,61%,87%,4%,72%,68%,66%,0%,15th March 2013,GB28K1200052
7631,Year 2013,Pavel Petrov,06:15,122,A# Minor,-12.11db,0%,72%,5%,74%,33%,66%,85%,21st June 2011,USAH91102424
7632,Strong - High Contrast Remix,"London Grammar, High Contrast",05:30,173,A# Major,-3.26db,37%,94%,4%,41%,18%,12%,11%,1st January 2013,GBCEN1300619
7633,"New Year, It's 2013",Fredix,02:40,102,E Minor,-10.33db,0%,45%,3%,20%,20%,22%,53%,8th February 2013,uscgh1363016
7634,Soon Come,"SHY FX, Liam Bailey",03:05,80,C Major,-6.88db,42%,67%,13%,81%,80%,24%,10%,29th July 2013,GBLAL1300002
7635,In The Year 2013,Shympulz,10:29,135,C Major,-10.8db,0%,73%,4%,63%,17%,7%,73%,4th April 2011,DEAR41166172
7636,Switch Lanes,"Tyga, The Game",03:41,92,A# Minor,-4.37db,63%,85%,23%,76%,46%,10%,0%,1st January 2013,USCM51300333
7637,Dog Years - 2013 Remaster,Rush,04:55,118,G Minor,-6.24db,8%,90%,5%,52%,60%,13%,4%,7th May 2013,USAT21302504
7638,Great Are You Lord - Live,"All Sons & Daughters, Leslie Jordan, David Leonard",04:50,144,A Major,-7.92db,59%,46%,3%,39%,15%,12%,0%,21st April 2013,US25L1300094
7639,New Year's Eve 2013,Gabriel@Louis,05:32,195,A# Minor,-14.14db,0%,60%,33%,42%,7%,11%,74%,6th October 2017,SKG631700656
7640,I Luv This Shit,"August Alsina, Trinidad James",04:27,124,C# Minor,-6.68db,52%,59%,28%,64%,41%,22%,0%,1st January 2013,USUM71301027
7641,Happy New Year 2013,The Spoads,03:50,126,G# Major,-6.65db,0%,95%,19%,54%,37%,33%,0%,28th December 2012,uscgh1302112
7642,Wicked Games - Radio Edit,"Parra for Cuva, Anna Naklab",03:15,125,B Major,-8.58db,67%,64%,5%,80%,70%,17%,2%,19th September 2013,NLZ541300724
7643,Happy New Year! (2013),PUNCH PUNCH,02:52,130,A Minor,-4.52db,0%,88%,6%,55%,33%,13%,81%,8th January 2013,KRA341222128
7644,Supersoaker,Kings of Leon,03:50,139,A Major,-4.45db,62%,87%,4%,44%,71%,11%,0%,24th September 2013,USRC11300780
7645,Years Before Dying (2013),Blanche Blanche Blanche,01:08,168,G Major,-19.13db,0%,26%,6%,69%,85%,11%,72%,18th February 2014,QZDA42120912
7646,,,00:00,0,,0db,0%,0%,0%,0%,0%,0%,0%,1st January 1970,N/A
7647,Mayan Calendar: Year 2013,Vanishing Tiger,01:34,170,F Major,-8.86db,1%,93%,8%,64%,11%,13%,89%,3rd October 2018,UST8K1862650
7648,Go Down on You,The Memories,01:00,137,C# Major,-9.23db,66%,49%,11%,59%,70%,11%,79%,10th April 2013,QZK6F2038385
7649,25 Years 2013 - Extended Mix,"Kenny Laakkinen, Michael Ammer, The Catch",05:45,125,A# Major,-8.95db,0%,69%,7%,76%,30%,11%,70%,29th November 2013,DEY201300072
7650,Timber,"Pitbull, Kesha",03:24,130,B Major,-4.11db,81%,97%,10%,59%,83%,14%,0%,7th October 2013,USRC11301695
7651,2013 Was A Bad Year,The Kids' Crusade,04:29,123,G# Major,-10.88db,0%,67%,5%,26%,28%,12%,0%,28th March 2014,GBSMU8720564
7652,How Country Feels,Randy Houser,03:05,105,G Major,-3.62db,70%,84%,4%,68%,77%,7%,0%,22nd January 2013,US58E1200307
7653,25 Years 2013 - Docfish Remix,"Kenny Laakkinen, Michael Ammer, The Catch",06:26,125,G# Major,-7.54db,0%,75%,13%,85%,62%,10%,72%,3rd May 2013,DEY201300074
7654,House of the Rising Sun,Five Finger Death Punch,04:07,77,E Minor,-2.84db,60%,96%,9%,47%,26%,11%,0%,18th November 2013,US5Z51300416
7655,25 Years 2013 - Extended Mix,"Kenny Laakkinen, Michael Ammer, The Catch",05:45,125,A# Major,-8.95db,1%,69%,7%,76%,30%,11%,70%,3rd May 2013,DEY201300072
7656,Freddy Crabs,Sticky Fingers,05:07,176,A Minor,-8.73db,50%,69%,4%,45%,25%,18%,6%,8th March 2013,AUUR11300057
7657,2013 Will Be My Year,Jay and Others :>,02:41,91,A# Major,-6.01db,0%,97%,14%,35%,39%,34%,0%,16th April 2021,QZDA82108103
7658,Nothing Arrived - Live from Spotify London,Villagers,03:39,103,G Major,-11.6db,65%,42%,4%,58%,42%,67%,0%,18th February 2013,GBCEL1200590
7659,Thirty Years Ago - Live 2013,Joe Lynch,03:47,120,G Major,-11.62db,0%,64%,6%,46%,64%,13%,0%,30th May 2020,QZHN52021506
7660,Headlights,"Eminem, Nate Ruess",05:43,146,B Major,-3.68db,61%,78%,16%,69%,45%,80%,0%,5th November 2013,USUM71314085
7661,New Year'S Eve 2013 version,Lee Hyun Suk,04:03,105,D# Major,-3.03db,0%,91%,6%,35%,43%,17%,93%,11th November 2013,QZF452051757
7662,Please Don't Say You Love Me,Gabrielle Aplin,03:01,86,C Major,-9.86db,60%,54%,5%,48%,32%,11%,0%,13th May 2013,GBAYE1201982
7663,25 Years 2013 - Radio Cut,"Kenny Laakkinen, Michael Ammer, The Catch",03:58,125,C Major,-8.1db,0%,81%,7%,67%,35%,9%,45%,2nd December 2016,DEBL60417853
7664,Electric Avennue,Eddy Grant,03:12,121,D Major,-14.38db,56%,41%,20%,95%,84%,54%,0%,26th April 2013,ES64A1057204
7665,25 Years 2013 - Radio Cut,"Kenny Laakkinen, Michael Ammer, The Catch",03:58,125,C Major,-8.1db,0%,81%,7%,67%,35%,9%,45%,3rd May 2013,DEY201300077
7666,Real Fan Noise (White Noise),White Noise Sound Garden,11:44,85,G# Major,-29.07db,61%,0%,7%,8%,3%,11%,65%,10th January 2013,USV351339677
7667,25 Years 2013 - Jerome Klark Remix,"Kenny Laakkinen, Michael Ammer, The Catch",04:58,130,A# Minor,-10.26db,0%,74%,5%,68%,36%,6%,38%,3rd May 2013,DEY201300075
7668,Sex,The 1975,03:26,148,D Major,-4.14db,56%,97%,13%,41%,17%,53%,0%,20th June 2021,GBK3W1000194
7669,New Year's Eve 2013 - Original Mix,Gabriel@Louis,05:32,195,A# Minor,-12.98db,0%,61%,33%,42%,8%,10%,73%,1st April 2013,GBKQU1237028
7670,For the First Time in Forever (Reprise),"Kristen Bell, Idina Menzel",02:29,94,A Major,-9.32db,62%,34%,4%,36%,39%,30%,0%,1st January 2013,USWD11366379
7671,12 Years A Slave (2013) - Solomon,Geek Music,03:06,83,G Major,-21.32db,2%,10%,4%,8%,3%,9%,83%,17th March 2018,QZ5FN1842906
7672,Tsunami,"DVBBS, Borgeous",03:56,128,E Minor,-5.35db,66%,84%,5%,70%,26%,9%,66%,1st January 2013,NLWV71300021
